Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Age_Disc,FamilySize,AgeGroup,Fare_EqualFreq
0,3,0.2711736617240512,1,0,0.014151057562208049,False,True,False,False,True,22.0,2,Young Adult,Low
1,1,0.4722292033174164,1,0,0.13913573538264068,True,False,True,False,False,38.0,2,Adult,Very High
1,3,0.32143754712239253,0,0,0.015468569817999833,True,False,False,False,True,26.0,1,Young Adult,Medium
1,1,0.4345312892686604,1,0,0.10364429745562033,True,False,False,False,True,35.0,2,Adult,Very High
0,3,0.4345312892686604,0,0,0.015712553569072387,False,True,False,False,True,35.0,1,Adult,Medium
0,3,0.36792055349407915,0,0,0.01650950209357577,False,True,False,True,False,29.69911764705882,1,Young Adult,Medium
0,1,0.6732847449107816,0,0,0.10122885832000206,False,True,False,False,True,54.0,1,Elderly,Very High
0,3,0.01985423473234481,3,1,0.04113566043083236,False,True,False,False,True,2.0,5,Child,High
1,3,0.33400351847197784,0,2,0.021730754366528396,True,False,False,False,True,27.0,3,Young Adult,Medium
1,2,0.17064589092736868,1,0,0.058694292654020104,True,False,True,False,False,14.0,2,Child,High
1,3,0.04498617743151546,1,1,0.03259622914329302,True,False,False,False,True,4.0,3,Child,High
1,1,0.723548630309123,0,0,0.051822148727810165,True,False,False,False,True,58.0,1,Elderly,High
0,3,0.24604171902488062,0,0,0.015712553569072387,False,True,False,False,True,20.0,1,Young Adult,Medium
0,3,0.4847951746670017,1,5,0.06104473451835265,False,True,False,False,True,39.0,7,Adult,Very High
0,3,0.17064589092736868,0,0,0.015330377421392339,True,False,False,False,True,14.0,1,Child,Low
1,2,0.685850716260367,0,0,0.03122992013728673,True,False,False,False,True,55.0,1,Elderly,High
0,3,0.01985423473234481,4,1,0.05684821399990475,False,True,False,True,False,2.0,6,Child,High
1,2,0.36792055349407915,0,0,0.025374310111545468,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,3,0.38426740387031916,1,0,0.03513366015444757,True,False,False,False,True,31.0,2,Adult,High
1,3,0.36792055349407915,0,0,0.014102260811993537,True,False,True,False,False,29.69911764705882,1,Young Adult,Low
0,2,0.4345312892686604,0,0,0.050748620223090936,False,True,False,False,True,35.0,1,Adult,High
1,2,0.4219653179190751,0,0,0.025374310111545468,False,True,False,False,True,34.0,1,Adult,Medium
1,3,0.18321186227695402,0,0,0.015671954672893913,True,False,False,True,False,15.0,1,Child,Medium
1,1,0.34656948982156316,0,0,0.06929138530460494,False,True,False,False,True,28.0,1,Young Adult,Very High
0,3,0.09525006282985675,3,1,0.04113566043083236,True,False,False,False,True,8.0,5,Child,High
1,3,0.4722292033174164,1,5,0.06126431989431795,True,False,False,False,True,38.0,7,Adult,Very High
0,3,0.36792055349407915,0,0,0.014102260811993537,False,True,True,False,False,29.69911764705882,1,Young Adult,Low
0,1,0.2334757476752953,3,2,0.5133418122566507,False,True,False,False,True,19.0,6,Young Adult,Very High
1,3,0.36792055349407915,0,0,0.01537917417160685,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015411575213749286,False,True,False,False,True,29.69911764705882,1,Young Adult,Low
0,1,0.49736114601658704,0,0,0.05410739813385612,False,True,True,False,False,40.0,1,Adult,High
1,1,0.36792055349407915,1,0,0.2859895551532101,True,False,True,False,False,29.69911764705882,2,Young Adult,Very High
1,3,0.36792055349407915,0,0,0.015126992566498259,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,2,0.8240764011058055,0,0,0.020494635090094415,False,True,False,False,True,66.0,1,Elderly,Medium
0,1,0.34656948982156316,1,0,0.16038672010106003,False,True,True,False,False,28.0,2,Young Adult,Very High
0,1,0.5224930887157577,1,0,0.10149724044618187,False,True,False,False,True,42.0,2,Adult,Very High
1,3,0.36792055349407915,0,0,0.014110458666029575,False,True,True,False,False,29.69911764705882,1,Young Adult,Low
0,3,0.2586076903744659,0,0,0.015712553569072387,False,True,False,False,True,21.0,1,Young Adult,Medium
0,3,0.22090977632571,2,0,0.03513366015444757,True,False,False,False,True,18.0,3,Child,High
1,3,0.17064589092736868,1,0,0.021942337075458514,True,False,True,False,False,14.0,2,Child,Medium
0,3,0.49736114601658704,1,0,0.018493968331299484,True,False,False,False,True,40.0,2,Adult,Medium
0,2,0.33400351847197784,1,0,0.04098927018018883,True,False,False,False,True,27.0,2,Young Adult,High
0,3,0.36792055349407915,0,0,0.015411575213749286,False,True,True,False,False,29.69911764705882,1,Young Adult,Low
1,2,0.032420206081930136,1,2,0.08115719346076702,True,False,True,False,False,3.0,4,Child,Very High
1,3,0.2334757476752953,0,0,0.01537917417160685,True,False,False,True,False,19.0,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015712553569072387,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,3,0.36792055349407915,1,0,0.030253985132996517,False,True,False,True,False,29.69911764705882,2,Young Adult,High
1,3,0.36792055349407915,0,0,0.015126992566498259,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,3,0.36792055349407915,2,0,0.04231498029001666,False,True,True,False,False,29.69911764705882,3,Young Adult,High
0,3,0.22090977632571,1,0,0.034743286152731485,True,False,False,False,True,18.0,2,Child,High
0,3,0.08268409148027142,4,1,0.07746484096553544,False,True,False,False,True,7.0,6,Child,Very High
0,3,0.2586076903744659,0,0,0.01522458606692728,False,True,False,False,True,21.0,1,Young Adult,Low
1,1,0.610454888162855,1,0,0.1497654242623688,True,False,True,False,False,49.0,2,Adult,Very High
1,2,0.35913546117114853,1,0,0.050748620223090936,True,False,False,False,True,29.0,2,Young Adult,High
0,1,0.8115104297562202,0,1,0.1209753416358076,False,True,True,False,False,65.0,2,Elderly,Very High
1,1,0.36792055349407915,0,0,0.06929138530460494,False,True,False,False,True,29.69911764705882,1,Young Adult,Very High
1,2,0.2586076903744659,0,0,0.020494635090094415,True,False,False,False,True,21.0,1,Young Adult,Medium
0,3,0.35285247549635584,0,0,0.014110458666029575,False,True,True,False,False,28.5,1,Young Adult,Low
1,2,0.05755214878110078,1,2,0.05416439273810667,True,False,False,False,True,5.0,4,Child,High
0,3,0.1329479768786127,5,2,0.09154270340242172,False,True,False,False,True,11.0,8,Child,Very High
0,3,0.2711736617240512,0,0,0.014110458666029575,False,True,True,False,False,22.0,1,Young Adult,Low
1,1,0.4722292033174164,0,0,0.15614960068643363,True,False,False,False,False,38.0,1,Adult,Very High
0,1,0.5601910027645137,1,0,0.16293234896625058,False,True,False,False,True,45.0,2,Adult,Very High
0,3,0.04498617743151546,3,2,0.05445717323939373,False,True,False,False,True,4.0,6,Child,High
0,1,0.36792055349407915,0,0,0.05410739813385612,False,True,True,False,False,29.69911764705882,1,Young Adult,High
1,3,0.36792055349407915,1,1,0.029757819776815374,False,True,True,False,False,29.69911764705882,3,Young Adult,High
1,2,0.35913546117114853,0,0,0.020494635090094415,True,False,False,False,True,29.0,1,Young Adult,Medium
0,3,0.2334757476752953,0,0,0.015923941091001644,False,True,False,False,True,19.0,1,Young Adult,Medium
1,3,0.20834380497612465,4,2,0.015468569817999833,True,False,False,False,True,17.0,7,Child,Medium
0,3,0.32143754712239253,2,0,0.016908073949327893,False,True,False,False,True,26.0,3,Young Adult,Medium
0,2,0.39683337521990447,0,0,0.020494635090094415,False,True,False,False,True,32.0,1,Adult,Medium
0,3,0.19577783362653933,5,2,0.09154270340242172,True,False,False,False,True,16.0,8,Child,Very High
0,2,0.2586076903744659,0,0,0.1434624456306609,False,True,False,False,True,21.0,1,Young Adult,Very High
0,3,0.32143754712239253,1,0,0.028212719478023115,False,True,True,False,False,26.0,2,Young Adult,Medium
1,3,0.39683337521990447,0,0,0.11027245763075773,False,True,False,False,True,32.0,1,Adult,Very High
0,3,0.3088715757728072,0,0,0.014931805565640218,False,True,False,False,True,25.0,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015411575213749286,False,True,False,False,True,29.69911764705882,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015712553569072387,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
1,2,0.005152048253329982,0,2,0.056604230248832196,False,True,False,False,True,0.83,3,Child,High
1,3,0.37170143252073384,0,0,0.024349578357040744,True,False,False,False,True,30.0,1,Young Adult,Medium
0,3,0.2711736617240512,0,0,0.017566830077223785,False,True,False,False,True,22.0,1,Young Adult,Medium
1,3,0.35913546117114853,0,0,0.018542765081513996,False,True,False,False,True,29.0,1,Young Adult,Medium
1,3,0.36792055349407915,0,0,0.015200187691820024,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,1,0.34656948982156316,0,0,0.09193307740413781,False,True,False,False,True,28.0,1,Young Adult,Very High
1,2,0.20834380497612465,0,0,0.020494635090094415,True,False,False,False,True,17.0,1,Child,Medium
1,3,0.4093993465694898,3,0,0.030937139635999665,True,False,False,False,True,33.0,4,Adult,High
0,3,0.19577783362653933,1,3,0.06709553154495196,False,True,False,False,True,16.0,5,Child,Very High
0,3,0.36792055349407915,0,0,0.015712553569072387,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
1,1,0.2837396330736366,3,2,0.5133418122566507,True,False,False,False,True,23.0,6,Young Adult,Very High
0,3,0.2963056044232219,0,0,0.015712553569072387,False,True,False,False,True,24.0,1,Young Adult,Medium
0,3,0.35913546117114853,0,0,0.015712553569072387,False,True,False,False,True,29.0,1,Young Adult,Medium
0,3,0.24604171902488062,0,0,0.015330377421392339,False,True,False,False,True,20.0,1,Young Adult,Low
0,1,0.5727569741140991,1,0,0.11940564777490723,False,True,False,False,True,46.0,2,Adult,Very High
0,3,0.32143754712239253,1,2,0.04015972542654215,False,True,False,False,True,26.0,4,Young Adult,High
0,3,0.7361146016587082,0,0,0.014151057562208049,False,True,False,False,True,59.0,1,Elderly,Low
0,3,0.36792055349407915,0,0,0.015712553569072387,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,1,0.8869062578537321,0,0,0.06764049365134761,False,True,True,False,False,71.0,1,Elderly,Very High
1,1,0.2837396330736366,0,1,0.12366716556464086,False,True,True,False,False,23.0,2,Young Adult,Very High
1,2,0.4219653179190751,0,1,0.044893010197349675,True,False,False,False,True,34.0,2,Adult,High
0,2,0.4219653179190751,1,0,0.050748620223090936,False,True,False,False,True,34.0,2,Adult,High
0,3,0.34656948982156316,0,0,0.015411575213749286,True,False,False,False,True,28.0,1,Young Adult,Low
0,3,0.36792055349407915,0,0,0.015411575213749286,False,True,False,False,True,29.69911764705882,1,Young Adult,Low
0,1,0.2586076903744659,0,1,0.15085515328815924,False,True,False,False,True,21.0,2,Young Adult,Very High
0,3,0.4093993465694898,0,0,0.016891873428256675,False,True,False,False,True,33.0,1,Adult,Medium
0,3,0.4596632319678311,2,0,0.015468569817999833,False,True,False,False,True,37.0,3,Adult,Medium
0,3,0.34656948982156316,0,0,0.015411575213749286,False,True,False,False,True,28.0,1,Young Adult,Low
1,3,0.2586076903744659,0,0,0.014931805565640218,True,False,False,False,True,21.0,1,Young Adult,Low
1,3,0.36792055349407915,0,0,0.015175789316712771,False,True,False,False,True,29.69911764705882,1,Young Adult,Low
0,3,0.4722292033174164,0,0,0.015411575213749286,False,True,False,False,True,38.0,1,Adult,Low
1,3,0.36792055349407915,1,0,0.04713766070721715,True,False,False,True,False,29.69911764705882,2,Young Adult,High
0,1,0.5853229454636844,0,0,0.10149724044618187,False,True,False,False,True,47.0,1,Adult,Very High
0,3,0.17692887660216136,1,0,0.028212719478023115,True,False,True,False,False,14.5,2,Child,Medium
0,3,0.2711736617240512,0,0,0.015712553569072387,False,True,False,False,True,22.0,1,Young Adult,Medium
0,3,0.24604171902488062,1,0,0.019177122834302632,True,False,False,False,True,20.0,2,Young Adult,Medium
0,3,0.20834380497612465,0,0,0.028220722145058292,True,False,True,False,False,17.0,1,Child,High
0,3,0.2586076903744659,0,0,0.015468569817999833,False,True,False,False,True,21.0,1,Young Adult,Medium
0,3,0.8806232721789394,0,0,0.015126992566498259,False,True,False,True,False,70.5,1,Elderly,Low
0,2,0.35913546117114853,1,0,0.04098927018018883,False,True,False,False,True,29.0,2,Young Adult,High
0,1,0.2963056044232219,0,1,0.4831284260198326,False,True,True,False,False,24.0,2,Young Adult,Very High
0,3,0.01985423473234481,4,2,0.06104473451835265,True,False,False,False,True,2.0,7,Child,Very High
0,2,0.2586076903744659,2,0,0.1434624456306609,False,True,False,False,True,21.0,3,Young Adult,Very High
0,3,0.36792055349407915,0,0,0.015712553569072387,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,2,0.40311636089469716,1,0,0.058694292654020104,False,True,True,False,False,32.5,2,Adult,High
1,2,0.40311636089469716,0,0,0.025374310111545468,True,False,False,False,True,32.5,1,Adult,Medium
0,1,0.6732847449107816,0,1,0.15085515328815924,False,True,False,False,True,54.0,2,Elderly,Very High
1,3,0.14551394822819805,1,0,0.021942337075458514,False,True,True,False,False,12.0,2,Child,Medium
0,3,0.36792055349407915,0,0,0.015126992566498259,False,True,False,True,False,29.69911764705882,1,Young Adult,Low
1,3,0.2963056044232219,0,0,0.01393967004027879,False,True,False,False,True,24.0,1,Young Adult,Low
1,3,0.36792055349407915,1,1,0.04364049521284362,True,False,True,False,False,29.69911764705882,3,Young Adult,High
0,3,0.5601910027645137,0,0,0.013614293309848433,False,True,False,False,True,45.0,1,Adult,Low
0,3,0.4093993465694898,0,0,0.015411575213749286,False,True,True,False,False,33.0,1,Adult,Low
0,3,0.24604171902488062,0,0,0.013760683560491965,False,True,False,False,True,20.0,1,Young Adult,Low
0,3,0.5853229454636844,1,0,0.028302115124416098,True,False,False,False,True,47.0,2,Adult,High
1,2,0.35913546117114853,1,0,0.050748620223090936,True,False,False,False,True,29.0,2,Young Adult,High
0,2,0.3088715757728072,0,0,0.025374310111545468,False,True,False,False,True,25.0,1,Young Adult,Medium
0,2,0.2837396330736366,0,0,0.02936744577509929,False,True,True,False,False,23.0,1,Young Adult,High
1,1,0.2334757476752953,0,2,0.051301584996521765,True,False,False,False,True,19.0,3,Young Adult,High
0,1,0.4596632319678311,1,0,0.10364429745562033,False,True,False,False,True,37.0,2,Adult,Very High
0,3,0.19577783362653933,0,0,0.01798980030808316,False,True,False,False,True,16.0,1,Child,Medium
0,1,0.2963056044232219,0,0,0.15458810467956932,False,True,True,False,False,24.0,1,Young Adult,Very High
0,3,0.36792055349407915,0,2,0.029757819776815374,True,False,True,False,False,29.69911764705882,3,Young Adult,High
1,3,0.2711736617240512,0,0,0.015126992566498259,True,False,False,False,True,22.0,1,Young Adult,Low
1,3,0.2963056044232219,1,0,0.030937139635999665,True,False,False,False,True,24.0,2,Young Adult,High
0,3,0.2334757476752953,0,0,0.013175122557917838,False,True,False,True,False,19.0,1,Young Adult,Low
0,2,0.22090977632571,0,0,0.022446505098674838,False,True,False,False,True,18.0,1,Child,Medium
0,2,0.2334757476752953,1,1,0.07173122281533045,False,True,False,False,True,19.0,3,Young Adult,Very High
1,3,0.33400351847197784,0,0,0.015216388212891242,False,True,False,False,True,27.0,1,Young Adult,Low
0,3,0.10781603417944208,2,2,0.06709553154495196,True,False,False,False,True,9.0,5,Child,Very High
0,2,0.4533802462930384,0,2,0.050748620223090936,False,True,False,False,True,36.5,3,Adult,High
0,2,0.5224930887157577,0,0,0.025374310111545468,False,True,False,False,True,42.0,1,Adult,Medium
0,2,0.6355868308620256,0,0,0.02444717185746977,False,True,False,False,True,51.0,1,Elderly,Medium
1,1,0.2711736617240512,1,0,0.12999454257145598,True,False,False,False,True,22.0,2,Young Adult,Very High
0,3,0.6921337019351597,0,0,0.015712553569072387,False,True,False,False,True,55.5,1,Elderly,Medium
0,3,0.5036441316913798,0,2,0.028302115124416098,False,True,False,False,True,40.5,3,Adult,High
0,3,0.36792055349407915,0,0,0.014273049437744325,False,True,False,False,True,29.69911764705882,1,Young Adult,Low
0,1,0.6355868308620256,0,1,0.11980421963065935,False,True,True,False,False,51.0,2,Elderly,Very High
1,3,0.19577783362653933,0,0,0.015094396337354966,True,False,False,True,False,16.0,1,Child,Low
0,3,0.37170143252073384,0,0,0.015712553569072387,False,True,False,False,True,30.0,1,Young Adult,Medium
0,3,0.36792055349407915,0,0,0.016908073949327893,False,True,False,False,True,29.69911764705882,1,Young Adult,Medium
0,3,0.36792055349407915,8,2,0.13575255909676825,False,True,False,False,True,29.69911764705882,11,Young Adult,Very High
0,3,0.5476250314149284,0,1,0.031425107138144774,False,True,False,False,True,44.0,2,Adult,High
1,2,0.49736114601658704,0,0,0.030741952635141623,True,False,False,False,True,40.0,1,Adult,High
0,3,0.32143754712239253,0,0,0.015175789316712771,False,True,False,False,True,26.0,1,Young Adult,Low
0,3,0.20834380497612465,0,0,0.016908073949327893,False,True,False,False,True,17.0,1,Child,Medium
0,3,0.007288263382759488,4,1,0.07746484096553544,False,True,False,False,True,1.0,6,Child,Very High
1,3,0.10781603417944208,0,2,0.04006213192611313,False,True,False,False,True,9.0,3,Child,High
1,1,0.36792055349407915,0,1,0.10735285047192313,True,False,False,False,True,29.69911764705882,2,Young Adult,Very High
0,3,0.5601910027645137,1,4,0.05445717323939373,True,False,False,False,True,45.0,6,Adult,High
0,1,0.36792055349407915,0,0,0.050602229972447406,False,True,False,False,True,29.69911764705882,1,Young Adult,High
0,3,0.34656948982156316,0,0,0.11027245763075773,False,True,False,False,True,28.0,1,Young Adult,Very High
0,1,0.7612465443578789,0,0,0.06538764528744409,False,True,False,False,True,61.0,1,Elderly,Very High
0,3,0.04498617743151546,4,1,0.05684821399990475,False,True,False,True,False,4.0,6,Child,High
1,3,0.007288263382759488,1,1,0.021730754366528396,True,False,False,False,True,1.0,3,Child,Medium
0,3,0.2586076903744659,0,0,0.015468569817999833,False,True,False,False,True,21.0,1,Young Adult,Medium
0,1,0.6984166876099522,0,0,0.05991421140938287,False,True,True,False,False,56.0,1,Elderly,High
0,3,0.22090977632571,1,1,0.015330377421392339,False,True,False,False,True,18.0,3,Child,Low
0,3,0.36792055349407915,3,1,0.049707687947515,False,True,False,False,True,29.69911764705882,5,Young Adult,High
0,1,0.6230208595124404,0,0,0.05604306762136532,True,False,True,False,False,50.0,1,Adult,High
0,2,0.37170143252073384,0,0,0.025374310111545468,False,True,False,False,True,30.0,1,Young Adult,Medium
0,3,0.4470972606182458,0,0,0.0,False,True,False,False,True,36.0,1,Adult,Low
0,3,0.36792055349407915,8,2,0.13575255909676825,True,False,False,False,True,29.69911764705882,11,Young Adult,Very High
0,2,0.36792055349407915,0,0,0.02937564362913533,False,True,True,False,False,29.69911764705882,1,Young Adult,High
0,3,0.10781603417944208,4,2,0.06126431989431795,False,True,False,False,True,9.0,7,Child,Very High
1,2,0.007288263382759488,2,1,0.07612293033463641,False,True,False,False,True,1.0,4,Child,Very High
1,3,0.04498617743151546,0,2,0.04298993693898376,True,False,False,False,True,4.0,3,Child,High
0,1,0.36792055349407915,0,0,0.09759350042902103,False,True,False,False,True,29.69911764705882,1,Young Adult,Very High
1,3,0.36792055349407915,1,0,0.030253985132996517,True,False,False,True,False,29.69911764705882,2,Young Adult,High
1,1,0.5601910027645137,0,0,0.051822148727810165,False,True,False,False,True,45.0,1,Adult,High
0,3,0.49736114601658704,1,1,0.030253985132996517,False,True,False,True,False,40.0,3,Adult,High
0,3,0.4470972606182458,0,0,0.015411575213749286,False,True,False,False,True,36.0,1,Adult,Low
1,2,0.39683337521990447,0,0,0.025374310111545468,True,False,False,False,True,32.0,1,Adult,Medium
0,2,0.2334757476752953,0,0,0.025374310111545468,False,True,False,False,True,19.0,1,Young Adult,Medium
1,3,0.2334757476752953,1,0,0.015330377421392339,True,False,False,False,True,19.0,2,Young Adult,Low
1,2,0.032420206081930136,1,1,0.050748620223090936,False,True,False,False,True,3.0,3,Child,High
1,1,0.5476250314149284,0,0,0.05410739813385612,True,False,True,False,False,44.0,1,Adult,High
1,1,0.723548630309123,0,0,0.2859895551532101,True,False,True,False,False,58.0,1,Elderly,Very High
0,3,0.36792055349407915,0,0,0.015126992566498259,False,True,False,True,False,29.69911764705882,1,Young Adult,Low
0,3,0.5224930887157577,0,1,0.01640390592611157,False,True,False,False,True,42.0,2,Adult,Medium
1,3,0.36792055349407915,0,0,0.015126992566498259,True,False,False,True,False,29.69911764705882,1,Young Adult,Low
0,2,0.2963056044232219,0,0,0.025374310111545468,True,False,False,False,True,24.0,1,Young Adult,Medium
0,3,0.34656948982156316,0,0,0.018542765081513996,False,True,False,False,True,28.0,1,Young Adult,Medium
0,3,0.36792055349407915,8,2,0.13575255909676825,False,True,False,False,True,29.69911764705882,11,Young Adult,Very High
0,3,0.4219653179190751,0,0,0.012678957201736696,False,True,False,False,True,34.0,1,Adult,Low
0,3,0.5664739884393064,0,0,0.014102260811993537,False,True,True,False,False,45.5,1,Adult,Low
1,3,0.22090977632571,0,0,0.015712553569072387,False,True,False,False,True,18.0,1,Child,Medium
0,3,0.01985423473234481,0,1,0.02042143996477265,True,False,False,False,True,2.0,2,Child,Medium
0,3,0.39683337521990447,1,0,0.030937139635999665,False,True,False,False,True,32.0,2,Adult,High
1,3,0.32143754712239253,0,0,0.036670757786204655,False,True,True,False,False,26.0,1,Young Adult,High
1,3,0.19577783362653933,0,0,0.015126992566498259,True,False,False,True,False,16.0,1,Child,Low
1,1,0.49736114601658704,0,0,0.060507970265993034,False,True,True,False,False,40.0,1,Adult,High
0,3,0.2963056044232219,0,0,0.013760683560491965,False,True,False,False,True,24.0,1,Young Adult,Low
1,2,0.4345312892686604,0,0,0.04098927018018883,True,False,False,False,True,35.0,1,Adult,High
0,3,0.2711736617240512,0,0,0.014151057562208049,False,True,False,False,True,22.0,1,Young Adult,Low
0,2,0.37170143252073384,0,0,0.025374310111545468,False,True,False,False,True,30.0,1,Young Adult,Medium
0,3,0.36792055349407915,1,0,0.015126992566498259,False,True,False,True,False,29.69911764705882,2,Young Adult,Low
1,1,0.38426740387031916,1,0,0.22109807522194713,True,False,True,False,False,31.0,2,Adult,Very High
1,3,0.33400351847197784,0,0,0.015468569817999833,True,False,False,False,True,27.0,1,Young Adult,Medium
0,2,0.5224930887157577,1,0,0.05270049023167135,False,True,False,False,True,42.0,2,Adult,High
1,1,0.39683337521990447,0,0,0.14891148113361488,True,False,True,False,False,32.0,1,Adult,Very High
0,2,0.37170143252073384,0,0,0.020494635090094415,False,True,False,False,True,30.0,1,Young Adult,Medium
1,3,0.19577783362653933,0,0,0.015712553569072387,False,True,False,False,True,16.0,1,Child,Medium
